id,source_type,information,url,date,confidence
SRC-001,WHOIS,domain_registration,whois:chicken-road2.app,2026-08-04T13:46:13.081082,High
SRC-DNS-A,DNS Resolver,DNS A,dns:chicken-road2.app,2026-08-04T13:46:13.495522,High
SRC-DNS-AAAA,DNS Resolver,DNS AAAA,dns:chicken-road2.app,2026-08-04T13:46:13.525578,High
SRC-DNS-NS,DNS Resolver,DNS NS,dns:chicken-road2.app,2026-08-04T13:46:15.091403,High
SRC-DNS-TXT,DNS Resolver,DNS TXT,dns:chicken-road2.app,2026-08-04T13:46:15.606080,High
SRC-DNS-SOA,DNS Resolver,DNS SOA,dns:chicken-road2.app,2026-08-04T13:46:15.679848,High
SRC-IP-001,IP Intelligence,IP Resolution,ip:chicken-road2.app,2026-08-04T13:46:25.294622,High
SRC-SSL-001,Certificate Transparency,SSL Certificate,https://chicken-road2.app,2026-08-04T13:46:25.567028,High
SRC-HDR-001,HTTP Headers,Security Headers,https://chicken-road2.app,2026-08-04T13:46:26.751261,High
SRC-TECH-001,Technology Detection,Tech Stack,https://chicken-road2.app,2026-08-04T13:46:28.819012,Medium
SRC-SUB-001,Certificate Transparency,Subdomain Discovery,ct:chicken-road2.app,2026-08-04T13:46:46.552147,High
SRC-WEB-001,Web Content,Page Analysis,https://chicken-road2.app,2026-08-04T13:46:48.868651,Medium
SRC-ROB-001,robots.txt,Robots Analysis,https://chicken-road2.app/robots.txt,2026-08-04T13:46:49.310238,High
SRC-SIT-001,Sitemap,Sitemap Analysis,https://chicken-road2.app/sitemap.xml,2026-08-04T13:46:49.773934,High
